2024-11-16T04:24:35.122062Z [info     ] 2024-11-16 04:24:35,121 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 30000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:40.767518Z [info     ] 2024-11-16 04:24:40,767 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:40.767931Z [info     ] 2024-11-16 04:24:40,767 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 45000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:46.415449Z [info     ] 2024-11-16 04:24:46,415 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:46.415781Z [info     ] 2024-11-16 04:24:46,415 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 60000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:52.049143Z [info     ] 2024-11-16 04:24:52,049 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:52.049541Z [info     ] 2024-11-16 04:24:52,049 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 75000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:57.701238Z [info     ] 2024-11-16 04:24:57,701 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:57.701661Z [info     ] 2024-11-16 04:24:57,701 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 90000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:03.339761Z [info     ] 2024-11-16 04:25:03,339 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:03.340116Z [info     ] 2024-11-16 04:25:03,339 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 105000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:04.076325Z [info     ] 2024-11-16 04:25:04,076 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 136782, "tags": {"stream": "pipeline_benchmark-customer", "pid": 22685, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:25:08.915317Z [info     ] 2024-11-16 04:25:08,915 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:08.915586Z [info     ] 2024-11-16 04:25:08,915 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 120000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
